"mu_star","epsilon","method","cov_joint","cov_joint_se","cov_mu","cov_mu_se","cov_sigma","cov_sigma_se","width_mu","width_mu_se","width_sigma","width_sigma_se","area","area_se"
1,0.1,"Mahalanobis (Repro)",0.94,0.023868,0.98,0.014071,0.98,0.014071,4.312723,0.147446,4.735538,0.067892,14.715914,0.428889
1,0.1,"Efficient (mu-interest)",0.94,0.023868,0.97,0.017145,0.99,0.01,3.97151,0.144449,4.878628,0.021372,16.818131,0.637773
1,0.1,"PB-ADI",0.54,0.050091,0.82,0.038612,0.64,0.048242,3.988072,0.144889,3.548392,0.337438,16.019266,1.753846
1,0.2,"Mahalanobis (Repro)",0.94,0.023868,0.99,0.01,0.98,0.014071,2.787581,0.094634,4.187373,0.109176,7.019655,0.323103
1,0.2,"Efficient (mu-interest)",0.95,0.021904,0.95,0.021904,0.99,0.01,1.959598,0.086651,4.8265,0.038024,7.679384,0.334547
1,0.2,"PB-ADI",0.81,0.039428,0.93,0.025643,0.86,0.034874,2.157058,0.107366,2.381184,0.166284,6.205254,0.601142
1,0.5,"Mahalanobis (Repro)",0.95,0.021904,0.99,0.01,0.97,0.017145,0.928156,0.029579,1.560133,0.047799,0.892769,0.0643
1,0.5,"Efficient (mu-interest)",0.97,0.017145,0.99,0.01,1,0,0.758245,0.021686,3.605517,0.094875,1.814968,0.099023
1,0.5,"PB-ADI",0.93,0.025643,0.95,0.021904,0.98,0.014071,0.656868,0.028287,1.132187,0.036191,0.834549,0.079813
1,1,"Mahalanobis (Repro)",0.98,0.014071,1,0,0.99,0.01,0.673178,0.009651,0.827395,0.011754,0.337071,0.010156
1,1,"Efficient (mu-interest)",0.99,0.01,0.99,0.01,1,0,0.567708,0.008405,1.782875,0.029255,0.64297,0.021023
1,1,"PB-ADI",0.94,0.023868,0.96,0.019695,0.98,0.014071,0.466586,0.008414,0.583513,0.010866,0.279769,0.010458
1.5,0.1,"Mahalanobis (Repro)",0.96,0.019695,0.98,0.014071,0.99,0.01,4.892001,0.163792,4.727795,0.07128,15.462492,0.433318
1.5,0.1,"Efficient (mu-interest)",0.96,0.019695,0.96,0.019695,1,0,4.41728,0.159776,4.9,0,18.656116,0.710267
1.5,0.1,"PB-ADI",0.6,0.049237,0.92,0.027266,0.61,0.049021,5.316959,0.23924,3.491439,0.324506,23.140447,2.495684
