"clamp_type","mu_star","epsilon","method","cov_joint","cov_joint_se","cov_mu","cov_mu_se","cov_sigma","cov_sigma_se","width_mu","width_mu_se","width_sigma","width_sigma_se","area","area_se"
"hard",3,0.1,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,3.089949,0.052341,4.6463,0.058819,10.752701,0.359924
"hard",3,0.1,"Efficient (mu-interest)",0.95,0.021904,0.96,0.019695,0.99,0.01,2.574375,0.090508,4.880502,0.011661,11.708119,0.406319
"hard",3,0.1,"PB-ADI",0.19,0.039428,0.55,0.05,0.25,0.043519,7.823211,0.078336,3.936981,0.446342,31.371038,3.555574
"hard",3,0.2,"Mahalanobis (Repro)",0.96,0.019695,1,0,1,0,2.456477,0.055489,4.245606,0.081194,5.619912,0.216748
"hard",3,0.2,"Efficient (mu-interest)",0.94,0.023868,0.95,0.021904,0.99,0.01,2.295299,0.065047,4.532827,0.0731,9.323663,0.373578
"hard",3,0.2,"PB-ADI",0.4,0.049237,0.49,0.050242,0.48,0.050212,7.060241,0.151826,3.571543,0.343797,26.606099,2.578353
"hard",3,0.5,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,2.175506,0.044899,3.172148,0.076682,2.445756,0.096888
"hard",3,0.5,"Efficient (mu-interest)",0.9,0.030151,0.93,0.025643,0.96,0.019695,1.728663,0.051255,3.585934,0.097176,4.259439,0.214077
"hard",3,0.5,"PB-ADI",0.73,0.04462,0.73,0.04462,0.85,0.035887,4.471297,0.269883,2.276825,0.135517,12.970752,1.20092
"hard",3,1,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,1.770106,0.052133,2.081472,0.057745,1.331773,0.067626
"hard",3,1,"Efficient (mu-interest)",0.87,0.0338,0.88,0.03266,0.91,0.028762,1.443147,0.053752,2.493138,0.054813,2.162399,0.142877
"hard",3,1,"PB-ADI",0.82,0.038612,0.82,0.038612,0.97,0.017145,1.770766,0.134361,1.539132,0.054679,3.373354,0.385458
"soft",3,0.1,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,3.311691,0.054122,4.682389,0.062443,11.962202,0.373387
"soft",3,0.1,"Efficient (mu-interest)",0.95,0.021904,0.97,0.017145,1,0,3.230063,0.072765,4.893663,0.00552,14.677294,0.329243
"soft",3,0.1,"PB-ADI",0.26,0.044084,0.55,0.05,0.33,0.047258,7.841567,0.086211,4.056149,0.428611,32.496409,3.440643
"soft",3,0.2,"Mahalanobis (Repro)",0.97,0.017145,1,0,1,0,2.799973,0.032661,4.333295,0.083005,6.706812,0.179931
"soft",3,0.2,"Efficient (mu-interest)",0.95,0.021904,0.97,0.017145,1,0,2.757251,0.036974,4.696868,0.055747,11.159842,0.267908
"soft",3,0.2,"PB-ADI",0.53,0.050161,0.61,0.049021,0.59,0.049431,6.809187,0.180884,3.206323,0.303124,23.528012,2.255163
"soft",3,0.5,"Mahalanobis (Repro)",0.96,0.019695,1,0,1,0,2.205061,0.046837,3.004707,0.086604,2.519959,0.102532
"soft",3,0.5,"Efficient (mu-interest)",0.95,0.021904,0.97,0.017145,1,0,1.95831,0.054101,3.537038,0.094456,4.982867,0.225016
"soft",3,0.5,"PB-ADI",0.76,0.042923,0.78,0.041633,0.86,0.034874,2.943208,0.218193,2.00545,0.094717,7.598494,0.814672
"soft",3,1,"Mahalanobis (Repro)",0.96,0.019695,1,0,1,0,1.412113,0.043533,1.681488,0.037029,0.970263,0.045504
"soft",3,1,"Efficient (mu-interest)",0.96,0.019695,0.98,0.014071,1,0,1.153735,0.03468,2.321665,0.035743,1.776323,0.079486
"soft",3,1,"PB-ADI",0.87,0.0338,0.88,0.03266,0.97,0.017145,1.009571,0.034923,1.247429,0.030919,1.348566,0.079324
