"epsilon","beta1_true","Delta","n","rejection_probability","mc_se","resolved_rejection_probability","failure_rate","n_failed","n_resolved","elapsed_seconds"
1,0,0.5,100,0.01,0.00314642654451045,0.01,0,0,1000,49.8022663593292
1,0,0.5,200,0.019,0.00431729081716764,0.019,0,0,1000,77.2815024852753
1,0,0.5,500,0.036,0.00589101010014412,0.036,0,0,1000,242.759710788727
1,0,0.5,1000,0.02,0.00442718872423573,0.02,0,0,1000,364.338087081909
1,0,1,100,0.015,0.00384382621875651,0.015,0,0,1000,34.7690711021423
1,0,1,200,0.021,0.00453420334788814,0.021,0,0,1000,61.3079648017883
1,0,1,500,0.033,0.00564898220921256,0.033,0,0,1000,140.15868806839
1,0,1,1000,0.037,0.00596917079668525,0.037,0,0,1000,309.728431224823
1,0,2,100,0.026,0.00503229569878401,0.026,0,0,1000,35.6310794353485
1,0,2,200,0.027,0.00512552436341883,0.027,0,0,1000,49.1396481990814
1,0,2,500,0.036,0.00589101010014412,0.036,0,0,1000,91.5237512588501
1,0,2,1000,0.041,0.00627048642451285,0.041,0,0,1000,211.212903499603
1,0,5,100,0.028,0.0052168956286282,0.028,0,0,1000,11.4901871681213
1,0,5,200,0.022,0.00463853425124791,0.022,0,0,1000,16.2059121131897
1,0,5,500,0.034,0.00573096850453743,0.034,0,0,1000,31.410897731781
1,0,5,1000,0.031,0.00548078461536302,0.031,0,0,1000,180.38410115242
1,0,10,100,0.021,0.00453420334788814,0.021,0,0,1000,24.0938596725464
1,0,10,200,0.017,0.00408790900094413,0.017,0,0,1000,18.3581578731537
1,0,10,500,0.029,0.00530650544143695,0.029,0,0,1000,71.0471348762512
1,0,10,1000,0.029,0.00530650544143695,0.029,0,0,1000,106.913704395294
1,1,0.5,100,1,0,1,0,0,1000,309.060700654984
1,1,0.5,200,1,0,1,0,0,1000,620.340927362442
1,1,0.5,500,1,0,1,0,0,1000,1602.84861469269
1,1,0.5,1000,1,0,1,0,0,1000,3930.51691889763
1,1,1,100,1,0,1,0,0,1000,386.801565170288
1,1,1,200,1,0,1,0,0,1000,827.987637042999
1,1,1,500,1,0,1,0,0,1000,2038.8464345932
1,1,1,1000,1,0,1,0,0,1000,4776.55346798897
1,1,2,100,0.968,0.00556560868189635,0.968,0,0,1000,386.774226665497
1,1,2,200,1,0,1,0,0,1000,933.948286056519
1,1,2,500,1,0,1,0,0,1000,3339.33005642891
1,1,2,1000,1,0,1,0,0,1000,9510.60250091553
1,1,5,100,0.091,0.00909499862561837,0.091,0,0,1000,47.9007382392883
1,1,5,200,0.328,0.0148464137083674,0.328,0,0,1000,103.736263513565
1,1,5,500,0.984,0.00396787096564392,0.984,0,0,1000,933.526472330093
1,1,5,1000,1,0,1,0,0,1000,6068.51916480064
1,1,10,100,0.023,0.00474035863622153,0.023,0,0,1000,31.9612998962402
1,1,10,200,0.035,0.00581162627841812,0.035,0,0,1000,88.1806056499481
1,1,10,500,0.152,0.0113532374237483,0.152,0,0,1000,183.138312339783
1,1,10,1000,0.529,0.0157847711418316,0.529,0,0,1000,1154.43991589546
