"n","epsilon","coverage","width_all","width_real","n_full_range","n_no_accepted_point","mean_seconds"
100,0.1,0.998997995991984,19.9668278823368,19.9668278823368,0,2,1.62402
100,0.3,1,19.9115900293087,19.9115900293087,0,0,2.462848
100,1,1,17.3658843478409,17.3658843478409,0,1,16.039319
100,3,0.993,5.15120392228446,5.15120392228446,0,0,118.310395
200,0.1,0.998998998998999,19.9634950349831,19.9634950349831,0,1,2.866679
200,0.3,0.998998998998999,19.5845248190921,19.5845248190921,0,1,8.513332
200,1,0.997,9.65755689901901,9.65755689901901,0,0,149.856412
200,3,0.978,1.87208791892042,1.87208791892042,0,0,309.078069
500,0.1,1,19.8603688016233,19.8603688016233,0,0,15.436869
500,0.3,0.998,13.7510388372471,13.7510388372471,0,0,219.831231
500,1,0.983,1.64778507783007,1.64778507783007,0,0,814.603736
500,3,0.945,0.884910118063927,0.884910118063927,0,0,906.102453
1000,0.1,0.998998998998999,18.2428652690727,18.2428652690727,0,1,129.284192
1000,0.3,0.98,3.79579725580542,3.79579725580542,0,0,1318.348539
1000,1,0.946,0.739149340331649,0.739149340331649,0,0,2075.390634
1000,3,0.937,0.574957823297258,0.574957823297258,0,0,2126.092667
